Date,Price,Open,High,Low,Vol.,Change %
"Nov 02, 2020",1072.3,1065,1079.95,1051.1,7180000,1.10%
"Nov 03, 2020",1062.55,1072,1079.4,1057.5,7200000,-0.91%
"Nov 04, 2020",1093.95,1068,1116,1066.8,15700000,2.96%
"Nov 05, 2020",1104,1109.9,1123,1099,9570000,0.92%
"Nov 06, 2020",1112.75,1108,1121.1,1091.7,8810000,0.79%
"Nov 09, 2020",1136.55,1129.3,1146,1121.15,10160000,2.14%
"Nov 10, 2020",1091.05,1113.85,1113.85,1078,15620000,-4.00%
"Nov 11, 2020",1122.5,1096,1126.35,1087,12510000,2.88%
"Nov 12, 2020",1117.75,1128.1,1142,1113.75,9180000,-0.42%
"Nov 13, 2020",1124.2,1120,1133,1117,6360000,0.58%
"Nov 17, 2020",1123.7,1144.75,1145,1112.65,12810000,-0.04%
"Nov 18, 2020",1110.55,1128.5,1132.7,1101.45,9840000,-1.17%
"Nov 19, 2020",1096.75,1100,1114.7,1093.8,10090000,-1.24%
"Nov 20, 2020",1103.35,1106,1109,1091.1,8060000,0.60%
"Nov 23, 2020",1139.85,1105,1144.8,1101.95,10550000,3.31%
"Nov 24, 2020",1140.05,1145,1154.9,1133.35,8520000,0.02%
"Nov 25, 2020",1115.65,1137,1143.5,1111.25,8960000,-2.14%
"Nov 26, 2020",1113.2,1119.95,1119.95,1098.3,10960000,-0.22%
"Nov 27, 2020",1100,1118,1121,1091,25310000,-1.19%
"Dec 01, 2020",1137.85,1105.05,1140.25,1105.05,8930000,3.44%
"Dec 02, 2020",1140.9,1134,1147.45,1121,6740000,0.27%
"Dec 03, 2020",1126.45,1147,1147,1122.7,16210000,-1.27%
"Dec 04, 2020",1134.65,1125,1137,1115,10560000,0.73%
"Dec 07, 2020",1143.5,1147.3,1153,1136,7790000,0.78%
"Dec 08, 2020",1153.35,1145,1167,1145,12310000,0.86%
"Dec 09, 2020",1175.2,1168.05,1179.5,1157,10040000,1.89%
"Dec 10, 2020",1167.75,1157.4,1171.65,1150,9490000,-0.63%
"Dec 11, 2020",1163.2,1159.7,1171.95,1155.25,10570000,-0.39%
"Dec 14, 2020",1164.55,1169.4,1172.6,1148.2,6730000,0.12%
"Dec 15, 2020",1154.6,1156,1163.7,1152,6910000,-0.85%
"Dec 16, 2020",1165.7,1160,1168.9,1153.6,7790000,0.96%
"Dec 17, 2020",1159.2,1165.9,1168.9,1156.2,6660000,-0.56%
"Dec 18, 2020",1189.8,1182.85,1195,1175.6,16000000,2.64%
"Dec 21, 2020",1177.3,1188,1209.75,1152.05,10860000,-1.05%
"Dec 22, 2020",1220.5,1182,1223.85,1176.1,10900000,3.67%
"Dec 23, 2020",1253.05,1238,1258.85,1230.55,15880000,2.67%
"Dec 24, 2020",1236.05,1249.9,1249.9,1226,7310000,-1.36%
"Dec 28, 2020",1240.3,1238.45,1248,1236,4610000,0.34%
"Dec 29, 2020",1250.3,1235,1254.45,1235,6880000,0.81%
"Dec 30, 2020",1246.8,1253,1253.3,1238.15,5190000,-0.28%
"Dec 31, 2020",1255.8,1243,1258.4,1239,7430000,0.72%
"Jan 01, 2021",1260.45,1257.9,1265.5,1255.8,4250000,0.37%
"Jan 04, 2021",1288.25,1269,1290,1261.15,7210000,2.21%
"Jan 05, 2021",1293.8,1282,1299,1275.05,8150000,0.43%
"Jan 06, 2021",1282.1,1300,1302,1268.05,7160000,-0.90%
"Jan 07, 2021",1262.15,1296,1297.65,1255.5,10950000,-1.56%
"Jan 08, 2021",1312.1,1278.25,1316.8,1278.25,13190000,3.96%
"Jan 11, 2021",1376.2,1342.1,1383.35,1340,20530000,4.89%
"Jan 12, 2021",1371.75,1378,1378,1360,8310000,-0.32%
"Jan 13, 2021",1387.15,1373.85,1392.8,1360,14440000,1.12%
"Jan 14, 2021",1370.5,1360,1384,1318.45,27520000,-1.20%
"Jan 15, 2021",1344.95,1360,1364.45,1340,15020000,-1.86%
"Jan 18, 2021",1312.05,1338,1340,1306,8860000,-2.45%
"Jan 19, 2021",1316.65,1320,1331,1312,5590000,0.35%
"Jan 20, 2021",1339.45,1320.55,1348.4,1320.55,8230000,1.73%
"Jan 21, 2021",1339.7,1350,1361.05,1335,6140000,0.02%
"Jan 22, 2021",1340.85,1327,1356,1326.55,9650000,0.09%
"Jan 25, 2021",1325.1,1345,1347.9,1313,6540000,-1.17%
"Jan 27, 2021",1301,1319.6,1327.55,1285.1,8130000,-1.82%
"Jan 28, 2021",1276.2,1291.8,1296.45,1272.55,4660000,-1.91%
"Jan 29, 2021",1239.05,1286.25,1291.15,1231,12180000,-2.91%
